symbol	idx	date	temperature	humidity
bedroom	1	2015-10-01	26	48
bedroom	2	2015-10-02	28.5	46.6
bedroom	3	2015-10-03	25	49.7
bedroom	4	2015-10-04	25.6	48.7
bedroom	5	2015-10-05	26.7	49.8
bedroom	6	2015-10-06	26	46.9
bedroom	7	2015-10-07	28.7	45.1
bedroom	8	2015-10-08	29.8	49
bedroom	9	2015-10-09	39	47.1
bedroom	10	2015-10-10	35	64
bedroom	11	2015-10-11	22	58
bedroom	12	2015-10-12	12	52
bedroom	13	2015-10-13	28	68
bedroom	14	2015-10-14	28	78
bedroom	15	2015-10-15	26	65
bedroom	16	2015-10-16	29	54
bedroom	17	2015-10-17	21	55
bedroom	18	2015-10-18	22	56
bedroom	19	2015-10-19	26	62
bedroom	20	2015-10-20	24	55.5
bedroom	21	2015-10-21	28	59
bedroom	22	2015-10-22	26	60
