idx	date	temperature	humidity
1	2015-09-13 00:39:53	22	50
2	2015-09-13 00:54:53	22.0492	49.978
3	2015-09-13 01:09:53	22.1213	49.8928
4	2015-09-13 01:24:53	22.0383	49.8433
5	2015-09-13 01:39:53	22.0786	49.8243
6	2015-09-13 01:54:53	22.1258	49.8153
7	2015-09-13 02:09:53	22.1702	49.8046
8	2015-09-13 02:24:53	22.0753	49.7071
9	2015-09-13 02:39:53	21.9904	49.8017
10	2015-09-13 02:54:53	22.0189	49.8912
11	2015-09-13 03:09:53	22.1185	49.8423
12	2015-09-13 03:24:53	22.209	49.7968
13	2015-09-13 03:39:53	22.3017	49.8773
14	2015-09-13 03:54:53	22.2615	49.8124
15	2015-09-13 04:09:53	22.3502	49.7315
16	2015-09-13 04:24:53	22.3971	49.6541
17	2015-09-13 04:39:53	22.3285	49.7029
18	2015-09-13 04:54:53	22.3656	49.6913
19	2015-09-13 05:09:53	22.4644	49.7856
20	2015-09-13 05:24:53	22.4249	49.8698
21	2015-09-13 05:39:53	22.405	49.7902
22	2015-09-13 05:54:53	22.4143	49.7178
23	2015-09-13 06:09:53	22.3499	49.6214
24	2015-09-13 06:24:53	22.3039	49.5796
25	2015-09-13 06:39:53	22.3036	49.6292
26	2015-09-13 06:54:53	22.2691	49.6271
27	2015-09-13 07:09:53	22.3467	49.6213
28	2015-09-13 07:24:53	22.3549	49.6421
29	2015-09-13 07:39:53	22.3332	49.6001
30	2015-09-13 07:54:53	22.4128	49.5936
31	2015-09-13 08:09:53	22.5043	49.5071
32	2015-09-13 08:24:53	22.5923	49.4685
33	2015-09-13 08:39:53	22.6001	49.5215
34	2015-09-13 08:54:53	22.5967	49.4218
35	2015-09-13 09:09:53	22.5763	49.4851
36	2015-09-13 09:24:53	22.5032	49.5653
37	2015-09-13 09:39:53	22.5662	49.4765
38	2015-09-13 09:54:53	22.6183	49.4192
39	2015-09-13 10:09:53	22.6478	49.4715
40	2015-09-13 10:24:53	22.5829	49.4052
41	2015-09-13 10:39:53	22.6508	49.5018
42	2015-09-13 10:54:53	22.5759	49.4894
43	2015-09-13 11:09:53	22.5913	49.4053
44	2015-09-13 11:24:53	22.5763	49.3631
45	2015-09-13 11:39:53	22.6266	49.3884
46	2015-09-13 11:54:53	22.6901	49.2916
47	2015-09-13 12:09:53	22.759	49.3628
48	2015-09-13 12:24:53	22.8157	49.3009
49	2015-09-13 12:39:53	22.8676	49.2013
50	2015-09-13 12:54:53	22.8899	49.2333
51	2015-09-13 13:09:53	22.8016	49.2268
52	2015-09-13 13:24:53	22.8047	49.2567
53	2015-09-13 13:39:53	22.7273	49.2759
54	2015-09-13 13:54:53	22.7385	49.2506
55	2015-09-13 14:09:53	22.7055	49.3034
56	2015-09-13 14:24:53	22.7741	49.3789
57	2015-09-13 14:39:53	22.8481	49.4102
58	2015-09-13 14:54:53	22.7958	49.4328
59	2015-09-13 15:09:53	22.7843	49.5275
60	2015-09-13 15:24:53	22.7833	49.5111
61	2015-09-13 15:39:53	22.7383	49.5949
62	2015-09-13 15:54:53	22.7341	49.6652
63	2015-09-13 16:09:53	22.6948	49.6693
64	2015-09-13 16:24:53	22.7781	49.6654
65	2015-09-13 16:39:53	22.8588	49.7377
66	2015-09-13 16:54:53	22.8917	49.8337
67	2015-09-13 17:09:53	22.8346	49.7606
68	2015-09-13 17:24:53	22.8124	49.7268
69	2015-09-13 17:39:53	22.7404	49.7319
70	2015-09-13 17:54:53	22.7084	49.6347
71	2015-09-13 18:09:53	22.7656	49.6006
72	2015-09-13 18:24:53	22.726	49.667
73	2015-09-13 18:39:53	22.7365	49.7275
74	2015-09-13 18:54:53	22.7153	49.6779
75	2015-09-13 19:09:53	22.7471	49.6144
76	2015-09-13 19:24:53	22.7036	49.6032
77	2015-09-13 19:39:53	22.7512	49.5167
78	2015-09-13 19:54:53	22.7934	49.4613
79	2015-09-13 20:09:53	22.7259	49.4384
80	2015-09-13 20:24:53	22.7844	49.4175
81	2015-09-13 20:39:53	22.79	49.4866
82	2015-09-13 20:54:53	22.7158	49.4918
83	2015-09-13 21:09:53	22.6267	49.5457
84	2015-09-13 21:24:53	22.6687	49.5639
85	2015-09-13 21:39:53	22.7091	49.6467
86	2015-09-13 21:54:53	22.6374	49.7381
87	2015-09-13 22:09:53	22.5402	49.7126
88	2015-09-13 22:24:53	22.4546	49.665
89	2015-09-13 22:39:53	22.4326	49.6273
90	2015-09-13 22:54:53	22.4623	49.6796
91	2015-09-13 23:09:53	22.4809	49.7004
92	2015-09-13 23:24:53	22.4269	49.6277
93	2015-09-13 23:39:53	22.4628	49.578
94	2015-09-13 23:54:53	22.3892	49.6336
95	2015-09-14 00:09:53	22.3834	49.5808
96	2015-09-14 00:24:53	22.372	49.6321
97	2015-09-14 00:39:53	22.3634	49.6077
98	2015-09-14 00:54:53	22.3874	49.5117
99	2015-09-14 01:09:53	22.3415	49.4387
100	2015-09-14 01:24:53	22.2678	49.5241
101	2015-09-14 01:39:53	22.2552	49.4986
102	2015-09-14 01:54:53	22.3003	49.5162
103	2015-09-14 02:09:53	22.2467	49.5118
104	2015-09-14 02:24:53	22.3293	49.5625
105	2015-09-14 02:39:53	22.3704	49.5722
106	2015-09-14 02:54:53	22.3338	49.5395
107	2015-09-14 03:09:53	22.2588	49.5434
108	2015-09-14 03:24:53	22.3431	49.5479
109	2015-09-14 03:39:53	22.4054	49.5691
110	2015-09-14 03:54:53	22.4546	49.4905
111	2015-09-14 04:09:53	22.4321	49.4419
112	2015-09-14 04:24:53	22.5007	49.387
113	2015-09-14 04:39:53	22.423	49.3264
114	2015-09-14 04:54:53	22.5078	49.3708
115	2015-09-14 05:09:53	22.5382	49.2909
116	2015-09-14 05:24:53	22.5222	49.3893
117	2015-09-14 05:39:53	22.4733	49.4186
118	2015-09-14 05:54:53	22.4711	49.3599
119	2015-09-14 06:09:53	22.5262	49.3994
120	2015-09-14 06:24:53	22.5241	49.4446
121	2015-09-14 06:39:53	22.4936	49.3811
122	2015-09-14 06:54:53	22.5254	49.2884
123	2015-09-14 07:09:53	22.5399	49.3064
124	2015-09-14 07:24:53	22.5498	49.3011
125	2015-09-14 07:39:53	22.5373	49.2238
126	2015-09-14 07:54:53	22.589	49.2587
127	2015-09-14 08:09:53	22.6786	49.1873
128	2015-09-14 08:24:53	22.769	49.1653
129	2015-09-14 08:39:53	22.8388	49.2145
130	2015-09-14 08:54:53	22.8641	49.1558
131	2015-09-14 09:09:53	22.8385	49.1375
132	2015-09-14 09:24:53	22.7753	49.1293
133	2015-09-14 09:39:53	22.7935	49.0975
134	2015-09-14 09:54:53	22.8132	49.0476
135	2015-09-14 10:09:53	22.7488	49.104
136	2015-09-14 10:24:53	22.8018	49.0067
137	2015-09-14 10:39:53	22.87	49.0876
138	2015-09-14 10:54:53	22.8228	49.0805
139	2015-09-14 11:09:53	22.7725	48.9991
140	2015-09-14 11:24:53	22.7553	49.0094
141	2015-09-14 11:39:53	22.6742	48.991
142	2015-09-14 11:54:53	22.6246	48.9927
143	2015-09-14 12:09:53	22.5337	48.8929
144	2015-09-14 12:24:53	22.6234	48.9775
145	2015-09-14 12:39:53	22.6621	48.9784
146	2015-09-14 12:54:53	22.5659	49.0273
147	2015-09-14 13:09:53	22.5436	49.0622
148	2015-09-14 13:24:53	22.4951	49.0746
149	2015-09-14 13:39:53	22.4882	49.1427
150	2015-09-14 13:54:53	22.524	49.176
151	2015-09-14 14:09:53	22.44	49.2302
152	2015-09-14 14:24:53	22.3839	49.2316
153	2015-09-14 14:39:53	22.3265	49.2149
154	2015-09-14 14:54:53	22.3928	49.2805
155	2015-09-14 15:09:53	22.4177	49.3689
156	2015-09-14 15:24:53	22.4084	49.4078
157	2015-09-14 15:39:53	22.4511	49.4038
158	2015-09-14 15:54:53	22.5052	49.4441
159	2015-09-14 16:09:53	22.4659	49.5118
160	2015-09-14 16:24:53	22.3778	49.5664
161	2015-09-14 16:39:53	22.3877	49.6409
162	2015-09-14 16:54:53	22.3565	49.5715
163	2015-09-14 17:09:53	22.4168	49.4852
164	2015-09-14 17:24:53	22.3874	49.5375
165	2015-09-14 17:39:53	22.2941	49.5914
166	2015-09-14 17:54:53	22.2207	49.6057
167	2015-09-14 18:09:53	22.2901	49.6662
168	2015-09-14 18:24:53	22.2061	49.6664
169	2015-09-14 18:39:53	22.2733	49.6277
170	2015-09-14 18:54:53	22.3159	49.5848
171	2015-09-14 19:09:53	22.3273	49.5935
172	2015-09-14 19:24:53	22.3981	49.5068
173	2015-09-14 19:39:53	22.3884	49.5401
174	2015-09-14 19:54:53	22.3086	49.6353
175	2015-09-14 20:09:53	22.2319	49.6133
176	2015-09-14 20:24:53	22.2767	49.7032
177	2015-09-14 20:39:53	22.3705	49.6486
178	2015-09-14 20:54:53	22.4387	49.7424
179	2015-09-14 21:09:53	22.3513	49.7474
180	2015-09-14 21:24:53	22.3616	49.7791
181	2015-09-14 21:39:53	22.3087	49.8671
182	2015-09-14 21:54:53	22.2694	49.8324
183	2015-09-14 22:09:53	22.2868	49.9276
184	2015-09-14 22:24:53	22.2546	49.9225
185	2015-09-14 22:39:53	22.2331	50.0004
186	2015-09-14 22:54:53	22.1969	49.9916
187	2015-09-14 23:09:53	22.2546	50.0662
188	2015-09-14 23:24:53	22.2722	50.1256
189	2015-09-14 23:39:53	22.2971	50.0966
190	2015-09-14 23:54:53	22.3933	50.0189
191	2015-09-15 00:09:53	22.331	50.0232
192	2015-09-15 00:24:53	22.2374	50.094
193	2015-09-15 00:39:53	22.1855	50.029
194	2015-09-15 00:54:53	22.1714	49.9494
195	2015-09-15 01:09:53	22.1965	49.919
196	2015-09-15 01:24:53	22.1973	49.8421
197	2015-09-15 01:39:53	22.2908	49.8879
198	2015-09-15 01:54:53	22.2926	49.9591
199	2015-09-15 02:09:53	22.2482	49.8601
200	2015-09-15 02:24:53	22.2781	49.7872
201	2015-09-15 02:39:53	22.1823	49.8099
202	2015-09-15 02:54:53	22.2626	49.7472
203	2015-09-15 03:09:53	22.3469	49.7027
204	2015-09-15 03:24:53	22.3321	49.6132
205	2015-09-15 03:39:53	22.2961	49.6459
206	2015-09-15 03:54:53	22.392	49.5669
207	2015-09-15 04:09:53	22.3223	49.5766
208	2015-09-15 04:24:53	22.2354	49.615
209	2015-09-15 04:39:53	22.3214	49.5842
210	2015-09-15 04:54:53	22.2788	49.5085
211	2015-09-15 05:09:53	22.2495	49.4493
212	2015-09-15 05:24:53	22.2618	49.3703
213	2015-09-15 05:39:53	22.2791	49.3661
214	2015-09-15 05:54:53	22.3161	49.3374
215	2015-09-15 06:09:53	22.3169	49.2802
216	2015-09-15 06:24:53	22.2332	49.3348
217	2015-09-15 06:39:53	22.3067	49.4261
218	2015-09-15 06:54:53	22.2126	49.4735
219	2015-09-15 07:09:53	22.1647	49.5041
220	2015-09-15 07:24:53	22.1423	49.4171
221	2015-09-15 07:39:53	22.1622	49.3607
222	2015-09-15 07:54:53	22.072	49.4452
223	2015-09-15 08:09:53	22.1607	49.398
224	2015-09-15 08:24:53	22.1997	49.42
225	2015-09-15 08:39:53	22.2938	49.4151
226	2015-09-15 08:54:53	22.2348	49.4445
227	2015-09-15 09:09:53	22.1579	49.4292
228	2015-09-15 09:24:53	22.1789	49.4432
229	2015-09-15 09:39:53	22.2618	49.4962
230	2015-09-15 09:54:53	22.3376	49.4521
231	2015-09-15 10:09:53	22.3436	49.5117
232	2015-09-15 10:24:53	22.2439	49.6077
233	2015-09-15 10:39:53	22.2013	49.6975
234	2015-09-15 10:54:53	22.1069	49.6349
235	2015-09-15 11:09:53	22.0786	49.5751
236	2015-09-15 11:24:53	22.0308	49.5285
237	2015-09-15 11:39:53	21.9793	49.446
238	2015-09-15 11:54:53	21.9407	49.5132
239	2015-09-15 12:09:53	21.9877	49.5743
240	2015-09-15 12:24:53	21.8889	49.6034
241	2015-09-15 12:39:53	21.8771	49.6329
242	2015-09-15 12:54:53	21.9172	49.6841
243	2015-09-15 13:09:53	21.8763	49.764
244	2015-09-15 13:24:53	21.8853	49.6685
245	2015-09-15 13:39:53	21.7886	49.6315
246	2015-09-15 13:54:53	21.7085	49.7141
247	2015-09-15 14:09:53	21.7213	49.6354
248	2015-09-15 14:24:53	21.7749	49.5721
249	2015-09-15 14:39:53	21.8554	49.6377
250	2015-09-15 14:54:53	21.8259	49.5687
251	2015-09-15 15:09:53	21.759	49.4775
252	2015-09-15 15:24:53	21.846	49.5338
253	2015-09-15 15:39:53	21.9261	49.5522
254	2015-09-15 15:54:53	21.989	49.5075
255	2015-09-15 16:09:53	21.9647	49.4119
256	2015-09-15 16:24:53	22.0393	49.5062
257	2015-09-15 16:39:53	22.1234	49.4792
258	2015-09-15 16:54:53	22.0407	49.502
259	2015-09-15 17:09:53	22.1267	49.4325
260	2015-09-15 17:24:53	22.1473	49.4121
261	2015-09-15 17:39:53	22.0703	49.4449
262	2015-09-15 17:54:53	22.1471	49.4999
263	2015-09-15 18:09:53	22.0747	49.4462
264	2015-09-15 18:24:53	22.1364	49.35
265	2015-09-15 18:39:53	22.209	49.2899
266	2015-09-15 18:54:53	22.2028	49.2789
267	2015-09-15 19:09:53	22.1514	49.3061
268	2015-09-15 19:24:53	22.2387	49.2544
269	2015-09-15 19:39:53	22.1619	49.1922
270	2015-09-15 19:54:53	22.2461	49.2291
271	2015-09-15 20:09:53	22.2729	49.2161
272	2015-09-15 20:24:53	22.3348	49.1921
273	2015-09-15 20:39:53	22.4332	49.1889
