idx	date	temperature	humidity
1	2015-07-16 00:07:06	22	50
2	2015-07-16 00:12:06	21.9506	50.0518
3	2015-07-16 00:17:06	22.0265	50.0185
4	2015-07-16 00:22:06	22.0581	49.9222
5	2015-07-16 00:27:06	22.0493	49.9054
6	2015-07-16 00:32:06	22.0872	49.8231
7	2015-07-16 00:37:06	22.1816	49.7412
8	2015-07-16 00:42:06	22.2019	49.6535
9	2015-07-16 00:47:06	22.249	49.6152
10	2015-07-16 00:52:06	22.3084	49.5309
11	2015-07-16 00:57:06	22.2336	49.5638
12	2015-07-16 01:02:06	22.309	49.4877
13	2015-07-16 01:07:06	22.2311	49.5855
14	2015-07-16 01:12:06	22.1339	49.6122
15	2015-07-16 01:17:06	22.042	49.6731
16	2015-07-16 01:22:06	22.1302	49.658
17	2015-07-16 01:27:06	22.0892	49.7486
18	2015-07-16 01:32:06	22.1167	49.8115
19	2015-07-16 01:37:06	22.0903	49.7974
20	2015-07-16 01:42:06	22.03	49.8316
21	2015-07-16 01:47:06	22.0741	49.8664
22	2015-07-16 01:52:06	22.0758	49.9245
23	2015-07-16 01:57:06	22.0789	49.9848
24	2015-07-16 02:02:06	22.0291	50.0577
25	2015-07-16 02:07:06	22.01	50.1534
26	2015-07-16 02:12:06	22.0386	50.1828
27	2015-07-16 02:17:06	21.9628	50.1981
28	2015-07-16 02:22:06	21.9624	50.2224
29	2015-07-16 02:27:06	21.9224	50.2208
30	2015-07-16 02:32:06	21.953	50.1284
31	2015-07-16 02:37:06	21.8843	50.1078
32	2015-07-16 02:42:06	21.8746	50.1609
33	2015-07-16 02:47:06	21.9498	50.2215
34	2015-07-16 02:52:06	21.8878	50.1365
35	2015-07-16 02:57:06	21.8394	50.1001
36	2015-07-16 03:02:06	21.7775	50.071
37	2015-07-16 03:07:06	21.8694	49.9722
38	2015-07-16 03:12:06	21.9128	49.9368
39	2015-07-16 03:17:06	21.9447	50.0192
40	2015-07-16 03:22:06	21.9937	49.9734
41	2015-07-16 03:27:06	22.0663	50.0584
42	2015-07-16 03:32:06	22.0259	49.9753
43	2015-07-16 03:37:06	22.0883	49.9281
44	2015-07-16 03:42:06	22.0337	50.0271
45	2015-07-16 03:47:06	21.9997	50.0222
46	2015-07-16 03:52:06	21.9291	49.9373
47	2015-07-16 03:57:06	21.9299	49.8593
48	2015-07-16 04:02:06	22.0128	49.8673
49	2015-07-16 04:07:06	21.9229	49.7983
50	2015-07-16 04:12:06	21.9326	49.7005
51	2015-07-16 04:17:06	21.871	49.6812
52	2015-07-16 04:22:06	21.9077	49.7723
53	2015-07-16 04:27:06	21.9618	49.743
54	2015-07-16 04:32:06	21.9366	49.6545
55	2015-07-16 04:37:06	21.9359	49.5954
56	2015-07-16 04:42:06	21.95	49.685
57	2015-07-16 04:47:06	21.9949	49.7225
58	2015-07-16 04:52:06	22.0809	49.7384
59	2015-07-16 04:57:06	22.0764	49.7565
60	2015-07-16 05:02:06	22.0479	49.7752
61	2015-07-16 05:07:06	22.0893	49.7638
62	2015-07-16 05:12:06	22.035	49.7096
63	2015-07-16 05:17:06	22.0901	49.703
64	2015-07-16 05:22:06	22.159	49.6518
65	2015-07-16 05:27:06	22.2502	49.5822
66	2015-07-16 05:32:06	22.1926	49.4929
67	2015-07-16 05:37:06	22.2565	49.5056
68	2015-07-16 05:42:06	22.2972	49.5431
69	2015-07-16 05:47:06	22.2392	49.5253
70	2015-07-16 05:52:06	22.2911	49.439
71	2015-07-16 05:57:06	22.3533	49.466
72	2015-07-16 06:02:06	22.4055	49.4847
